incentive               名 刺激 激励或鼓励某人做某事的事物 优惠 刺激更多产出或投资的支付或让步 意似stimulate stimulus provoke irritate
fade                    动 褪色逐渐消失 逐渐变淡，消失  淡入淡出 (指电影和电视图像)逐渐进入或淡出视线，或与另一个镜头合并 名 褪色 淡入淡出  形似decay dye
fate                    名 命运 不受人控制的事件的发展，被认为是由超自然力量预先决定的
fatal                   形 致命的 causing death 灾难性的 leading to failure or disaster 词根fate
fragment                名 碎片 从某物上断裂或分离的一小部分 形容物理的 片段 某物孤立的或不完整的部分 如对话的片段 动 破碎分散 破碎或使破碎成碎片 形似segment fraction
gasoline                名 汽油 用作内燃机燃料的精炼石油 美式说法 petrol是英式说法  形似gas petrol
hazard                  名 危险 动 冒风险 把(某物)置于危险或丢失的危险中 试着说出 以试探性的方式说(某事) 自是词根 形似horror hatred
horror                  名 恐惧 强烈的害怕、震惊或厌恶的感觉 引起恐惧的东西可怕经历 a thing causing a feeling of horror 同根词horrify horrible 意似terror fright
insult                  名动 侮辱辱骂 用不尊重或轻蔑的辱骂说话或对待 意似denounce condemn deplore
journalism              名 新闻业 为报纸、杂志或新闻网站撰稿或准备广播新闻的活动或职业 新闻报道 新闻活动的产物 同根词journal journalist 形似journey 
literate                形 有读写能力的 able to read and write 有文化修养的有专业知识的 具有教育或知识的，尤指在某一特定领域 同根词literary literature 另一根literal literally
lobby                   名 门厅大堂 提供一个或多个房间或走廊可以引出的空间的房间，尤指靠近公共建筑入口的房间 游说团体运动 试图在某一特定问题上影响立法者的一群人 动 游说 在一个问题上试图影响(立法者) 同根词lobbyist 形似lorry
marvelous               形 极好的 extremely good or pleasing;excellent 令人惊奇的 引起巨大惊奇的;特别的
marvel                  名 奇迹令人惊奇的人物 奇妙的或惊人的人或物 动 感到惊讶 充满惊奇或惊讶 同根词marvelous
miracle                 名 奇迹 一种不寻常的、受欢迎的事件，不能用自然或科学法则来解释，因此被归因于神的作用
motion                  名 运动 移动或被移动的动作或过程 手势 a gesture 用法如make a motion 动 做手势示意 用手或头的动作指挥或命令(某人)
neutral                 形 中立的 在冲突、分歧等中不支持或帮助任何一方的;公正的 平淡的 没有明显特征的 如音调 中性的 化学非酸非碱 物理不带电的 没有正电荷负电荷 形似nephew steward
obligation              名 义务责任 一个人在道德上或法律上受约束的行为或过程;责任或承诺 引申到人情债 对服务或帮助的感激之情
oblige                  动 强迫 使(某人)在法律上或道德上受约束做某事 帮助 按(某人)的要求或愿望去做，以帮助或取悦他们 感激 be indebted or grateful 用法be obliged 非常奇怪的单词 意似impose compel
palm                    名 棕榈 一种生长在热带和温暖地区的无枝常绿树木，树冠上有很长的羽状或扇形叶子，通常在树干上有形成规则图案的旧叶痕 也作palm tree 手掌 手腕和手指之间的手的内表面,定义严谨
plague                  名 瘟疫鼠疫 一种以发热和谵妄为特征的传染性细菌性疾病，通常伴有腺鼠疫的形成(腺鼠疫)，有时肺部感染(肺鼠疫)或者任何迅速传播并致多人死亡的传染病 讨厌麻烦人或事引起麻烦或刺激的东西 动 困扰 给…造成持续的麻烦或痛苦 形似colleague plateau
