own əʊn  oʊn
politics ˈpɒlətɪks  ˈpɑːlətɪks
pond pɒnd  pɑːnd
pool puːl  puːl
pop pɒp  pɑːp
pork pɔːk  pɔːrk
porter ˈpɔːtə(r)  ˈpotər
positive ˈpɒzətɪv  ˈpɑːzətɪv
postcode ˈpəʊstkəʊd  ˈpoʊstkoʊd
postman ˈpəʊstmən  ˈpoʊstmən
postpone pəˈspəʊn  poʊˈspoʊn
pot pɒt  pɑːt
pound paʊnd  paʊnd
pour pɔː(r)  pɔːr
powder ˈpaʊdə(r)  ˈpaʊdər
practical ˈpræktɪkl  ˈpræktɪk(ə)l
prairie ˈpreəri  ˈpreri
pray preɪ  preɪ
prayer preə(r)  prer
prefer prɪˈfɜː(r)  prɪˈfɜːr
pregnant ˈpreɡnənt  ˈpreɡnənt
prejudice ˈpredʒədɪs  ˈpredʒədɪs
president ˈprezɪdənt  ˈprezɪdənt
previous ˈpriːviəs  ˈpriːviəs
primitive ˈprɪmətɪv  ˈprɪmətɪv
prison ˈprɪz(ə)n  ˈprɪzn
privilege ˈprɪvəlɪdʒ  ˈprɪvəlɪdʒ
procedure prəˈsiːdʒə(r)  prəˈsiːdʒər
profit ˈprɒfɪt  ˈprɑːfɪt
program ˈprəʊɡræm  ˈproʊɡræm
prohibit prəˈhɪbɪt  prəˈhɪbɪt
promote prəˈməʊt  prəˈmoʊt
properly ˈprɒpəli  ˈprɑːpərli
province ˈprɒvɪns  ˈprɑːvɪns
publicly ˈpʌblɪkli  ˈpʌblɪkli
pulse pʌls  pʌls
pump pʌmp  pʌmp
punctual ˈpʌŋktʃuəl  ˈpʌŋktʃuəl
purchase ˈpɜːtʃəs  ˈpɜːrtʃəs
purse pɜːs  pɜːrs
puzzle ˈpʌz(ə)l  ˈpʌz(ə)l
pyramid ˈpɪrəmɪd  ˈpɪrəmɪd
quarrel ˈkwɒrəl  ˈkwɑːrəl
quilt kwɪlt  kwɪlt
racial ˈreɪʃ(ə)l  ˈreɪʃ(ə)l
radiation ˌreɪdiˈeɪʃn  ˌreɪdiˈeɪʃ(ə)n
radium ˈreɪdiəm  ˈreɪdiəm
railway ˈreɪlweɪ  ˈreɪlweɪ
rare reə(r)  rer
raw ˈtɪp ʌp  ˈtɪp ʌp
razor ˈreɪzə(r)  ˈreɪzər
react riˈækt  riˈækt
realise ˈriːəlaɪz  ˈriːəlaɪz
receipt rɪˈsiːt  rɪˈsiːt
recipe ˈresəpi  ˈresəpi
recite rɪˈsaɪt  rɪˈsaɪt
recognize ˈrekəɡnaɪz  ˈrekəɡnaɪz
recommend ˌmaɪkrəʊˈfəʊtəˌɡrɑːf  ˌmaɪkroʊˈfoʊtəˌgræf; ˌmaɪkrəˈfoʊtəˌgræf
record ˈrekɔːd  ˈrekərd
recreation ˌriːkriˈeɪʃn; ˌrekriˈeɪʃən  ˌriːkriˈeɪʃn; ˌrekriˈeɪʃən
rectangle ˈrektæŋɡl  ˈrektæŋɡ(ə)l
redirect ˌriːdəˈrekt  ˌriːdəˈrekt
referee ˌrefəˈriː  ˌrefəˈriː
refrigerator rɪˈfrɪdʒəreɪtə(r)  rɪˈfrɪdʒəreɪtər
refusal rɪˈfjuːz(ə)l  rɪˈfjuːz(ə)l
register ˈredʒɪstə(r)  ˈredʒɪstər
relay ˈriːleɪ  ˈriːleɪ
remark rɪˈmɑːk  rɪˈmɑːrk
represent ˌreprɪˈzent  ˌreprɪˈzent
reputation ˌrepjuˈteɪʃ(ə)n  ˌrepjuˈteɪʃ(ə)n
resemble rɪˈzemb(ə)l  rɪˈzemb(ə)l
resign rɪˈzaɪn  rɪˈzaɪn
retell ˌriːˈtel  ˌriːˈtel
reviewer rɪˈvjuːə(r)  rɪˈvjuːər
revision rɪˈvɪʒ(ə)n  rɪˈvɪʒ(ə)n
rewind ˌriːˈwaɪnd  ˌriːˈwaɪnd
rhyme raɪm  raɪm
rid rɪd  rɪd
ridiculous rɪˈdɪkjələs  rɪˈdɪkjələs
roast rəʊst  roʊst
rob rɒb  rɑːb
role rəʊl  roʊl
roller ˈrəʊlə(r)  ˈroʊlər
rooster ˈruːstə(r)  ˈruːstər
rope eks  eks
rose rəʊz  roʊz
rough rʌf  rʌf
roundabout ˈraʊndəbaʊt  ˈraʊndəbaʊt
royal ˈrɔɪəl  ˈrɔɪəl
rubber ˈrʌbə(r)  ˈrʌbər
rugby ˈrʌɡbi  ˈrʌɡbi
sacred ˈseɪkrɪd  ˈseɪkrɪd
salad ˈsæləd  ˈsæləd
salary ˈsæləri  ˈsæləri
salesgirl ˈseɪlzɡɜːl  ˈseɪlzɡɜːrl
saleswoman ˈseɪlzwʊmən  ˈseɪlzwʊmən
salt sɔːlt  sɔːlt
salute səˈluːt  səˈluːt
satellite ˈsætəlaɪt  ˈsætəlaɪt
sauce sɔːs  sɔːs
saucer ˈsɔːsə(r)  ˈsɔːsər
sausage ˈsɒsɪdʒ  ˈsɔːsɪdʒ
savage ˈsævɪdʒ  ˈsævɪdʒ
scene siːn  siːn
scenery ˈsiːnəri  ˈsiːnəri
sceptical ˈskeptɪk(ə)l  ˈskeptɪk(ə)l
scholar ˈskɒlə(r)  ˈskɑːlər
scissors ˈsɪzəz  ˈsɪzərz
scream skriːm  skriːm
screen skriːn  skriːn
seaman ˈsiːmən  ˈsiːmən
seashell ˈsiːʃel  ˈsiːʃel
secretary ˈsekrət(ə)ri  ˈsekrəteri
secure sɪˈkjʊə(r)  sɪˈkjʊr
security sɪˈkjʊərəti  sɪˈkjʊrəti
seize siːz  siːz
seldom ˈseldəm  ˈseldəm
semicircle ˈsemisɜːk(ə)l  ˈsemisɜːrk(ə)l
seminar ˈsemɪnɑː(r)  ˈsemɪnɑːr
sensitive ˈsensətɪv  ˈsensətɪv
sentence ˈsentəns  ˈsentəns
session səˈnɒrəti  səˈnɔːrəti
severe sɪˈvɪə(r)  sɪˈvɪr
sew səʊ  soʊ
shabby ˈʃæbi  ˈʃæbi
shade ʃeɪd  ʃeɪd
shadow ˈʃædəʊ  ˈʃædoʊ
shallow ˈʃæləʊ  ˈʃæloʊ
shark ʃɑːk  ʃɑːrk
sharpener ˈʃɑːpnə(r)  ˈʃɑːrpnər
shaver ˈʃeɪvə(r)  ˈʃeɪvər
sheet ʃiːt  ʃiːt
shelf ʃelf  ʃelf
shelter ˈʃeltə(r)  ˈʃeltər
shirt ʃɜːt  ʃɜːrt
show ʃəʊ  ʃoʊ
shorts ʃɔːts  ʃɔːrts
shoulder ˈʃəʊldə(r)  ˈʃoʊldər
shout ʃaʊt  ʃaʊt
shower ˈʃaʊə(r)  ˈʃaʊər
shrink ʃrɪŋk  ʃrɪŋk
shuttle ˈʃʌt(ə)l  ˈʃʌt(ə)l
sigh saɪ  saɪ
silent ˈsaɪlənt  ˈsaɪlənt
silk sɪlk  sɪlk
silver ˈsɪlvə(r)  ˈsɪlvər
sink sɪŋk  sɪŋk
ski skiː  skiː
