aboard əˈbɔːd  əˈbɔːrd
anchor ˈæŋkə(r)  ˈæŋkər
angle ˈæŋɡ(ə)l  ˈæŋɡ(ə)l
ankle ˈæŋk(ə)l  ˈæŋk(ə)l
anniversary ˌænɪˈvɜːsəri  ˌænəˈvɜːrsəri; ˌænɪˈvɜːrsəri
annual ˈænjuəl  ˈænjuəl
Antarctic ænˈtɑːktɪk  ænˈtɑːrktɪk
antique ænˈtiːk  ænˈtiːk
apologize əˈpɒlədʒaɪz  əˈpɑːlədʒaɪz
apology əˈpɒlədʒi  əˈpɑːlədʒi
appendix əˈpendɪks  əˈpendɪks
appetite ˈæpɪtaɪt  ˈæpɪtaɪt
applaud əˈplɔːd  əˈplɔːd
applause əˈplɔːz  əˈplɔːz
appoint əˈpɔɪnt  əˈpɔɪnt
appreciate əˈpriːʃieɪt  əˈpriːʃieɪt
appropriate əˈprəʊpriət  əˈproʊpriət
Arab ˈærəb  ˈærəb
Arabic ˈærəbɪk  ˈærəbɪk
arbitrary ˈɑːbɪtrəri  ˈɑːrbɪtreri
arch ɑːtʃ  ɑːrtʃ
arithmetic əˈrɪθmətɪk  əˈrɪθmətɪk
arrange əˈreɪndʒ  əˈreɪndʒ
arrangement əˈreɪndʒmənt  əˈreɪndʒmənt
arrow ˈærəʊ  ˈæroʊ
artificial ˌɑːtɪˈfɪʃ(ə)l  ˌɑːrtɪˈfɪʃ(ə)l
ash æʃ  æʃ
ashamed əˈʃeɪmd  əˈʃeɪmd
Asia ˈeɪʒə; ˈeɪʃə  ˈeɪʒə; ˈeɪʃə
Asian ˈeɪʒ(ə)n  ˈeɪʒ(ə)n
aspect ˈæspekt  ˈæspekt
assess əˈses  əˈses
assessment əˈsesmənt  əˈsesmənt
assume əˈsjuːm  əˈsuːm
assumption əˈsʌmpʃn  əˈsʌmpʃ(ə)n
astonish əˈstɒnɪʃ  əˈstɑːnɪʃ
astronaut ˈæstrənɔːt  ˈæstrənɔːt
astronomer əˈstrɒnəmə(r)  əˈstrɑːnəmər
astronomy əˈstrɒnəmi  əˈstrɑːnəmi
athlete ˈæθliːt  ˈæθliːt
athletic æθˈletɪk  æθˈletɪk
athletics æθˈletɪks  æθˈletɪks
Atlantic ətˈlæntɪk  ətˈlæntɪk
atom ˈætəm  ˈætəm
attentively əˈtentɪvli  əˈtentɪvli
audience ˈɔːdiəns  ˈɔːdiəns
author ˈɔːθə(r)  ˈɔːθər
authority waɪ  waɪ
autonomous ɔːˈtɒnəməs  ɔːˈtɑːnəməs
autumn ˈɔːtəm  ˈɔːtəm
avenue ˈævənjuː  ˈævənuː
average ˈævərɪdʒ  ˈævərɪdʒ
award An error occurred: 'ukphone'
awkward ˈɔːkwəd  ˈɔːkwərd
bachelor ˈbætʃələ(r)  ˈbætʃələr
bacon ˈbeɪkən  ˈbeɪkən
bakery ˈbeɪkəri  ˈbeɪkəri
balcony ˈbælkəni  ˈbælkəni
ballet ˈbæleɪ  bæˈleɪ
bamboo ˌbæmˈbuː  ˌbæmˈbuː
barbecue ˈbɑːbɪkjuː  ˈbɑːrbɪkjuː
barber ˈbɑːbə(r)  ˈbɑːrbər
bare beə(r)  ber
bargain ˈbɑːɡən  ˈbɑːrɡən
barrier ˈbæriə(r)  ˈbæriər
basin ˈbeɪs(ə)n  ˈbeɪs(ə)n
basis ˈbeɪsɪs  ˈbeɪsɪs
bath bɑːθ  bæθ
bathe beɪð  beɪð
bathrobe ˈbɑːθrəʊb  ˈbæθroʊb
bathtub ˈbɑːθtʌb  ˈbæθtʌb
battery ˈbætri  ˈbætəri
bay beɪ  beɪ
bean biːn  biːn
bedding ˈbedɪŋ  ˈbedɪŋ
beer bɪə(r)  bɪr
beg ˈhiːlɪks  ˈhiːlɪks
bell bel  bel
belly ˈbeli  ˈbeli
belt belt  belt
bench bentʃ  bentʃ
beneath bɪˈniːθ  bɪˈniːθ
beside bɪˈsaɪd  bɪˈsaɪd
betray bɪˈtreɪ  bɪˈtreɪ
beyond bɪˈjɒnd  bɪˈjɑːnd
bicycle ˈbaɪsɪk(ə)l  ˈbaɪsɪkl
bid bɪd  bɪd
biography baɪˈɒɡrəfi  baɪˈɑːɡrəfi
biology baɪˈɒlədʒi  baɪˈɑːlədʒi
biscuit ˈbɪskɪt  ˈbɪskɪt
bishop ˈbɪʃəp  ˈbɪʃəp
blame bleɪm  bleɪm
blanket ˈblæŋkɪt  ˈblæŋkɪt
bless bles  bles
bomb bɒm  bɑːm
bonus ˈbəʊnəs  ˈboʊnəs
boom buːm  buːm
booth buːð  buːθ
border ˈbɔːdə(r)  ˈbɔːrdər
born bɔːn  bɔːrn
botanical bəˈtænɪk(ə)l  bəˈtænɪk(ə)l
botany ˈbɒtəni  ˈbɑːtəni
bounce baʊns  baʊns
bound baʊnd  baʊnd
boundary ˈbaʊndri  ˈbaʊndri
bowl bəʊl  boʊl
bowling ˈbəʊlɪŋ  ˈboʊlɪŋ
boycott ˈbɔɪkɒt  ˈbɔɪkɑːt
breast brest  brest
brewery ˈbruːəri  ˈbruːəri
bride braɪd  braɪd
bridegroom ˈbraɪdɡruːm  ˈbraɪdɡruːm
brief briːf  briːf
brilliant ˈbrɪliənt  ˈbrɪliənt
broom bruːm  bruːm
brown braʊn  braʊn
brunch brʌntʃ  brʌntʃ
Buddhism ˈbʊdɪzəm  ˈbuːdɪzəm
buffet ˈbʌfeɪ  bəˈfeɪ
bunch bʌntʃ  bʌntʃ
bungalow ˈbʌŋɡələʊ  ˈbʌŋɡəloʊ
bureaucratic ˌbjʊərəˈkrætɪk  ˌbjʊrəˈkrætɪk
burglar ˈbɜːɡlə(r)  ˈbɜːrɡlər
burn bɜːn  bɜːrn
bury An error occurred: 'ukphone'
burial ˈberiəl  ˈberiəl
bush bʊʃ  bʊʃ
businesswoman ˈbɪznəswʊmən  ˈbɪznəswʊmən
butcher ˈbʊtʃə(r)  ˈbʊtʃər
call eks  eks
calm kɑːm  kɑːm
camel ˈkæm(ə)l  ˈkæm(ə)l
cancel ˈkæns(ə)l  ˈkæns(ə)l
cancer ˈkænsə(r)  ˈkænsər
candidate ˈkændɪdət  ˈkændɪdət
cap kæp  kæp
capital pəˈliːs dɪpɑːtmənt  An error occurred: 'usphone'
captain ˈkæptɪn  ˈkæptɪn
caption ˈkæpʃ(ə)n  ˈkæpʃ(ə)n
carbon ˈkɑːbən  ˈkɑːrbən
carpenter ˈkɑːpəntə(r)  ˈkɑːrpəntər
carpet ˈkɑːpɪt  ˈkɑːrpɪt
carrier ˈkæriə(r)  ˈkæriər
carve kɑːv  kɑːrv
cassette kəˈset  kəˈset
cast kɑːst  kæst
castle ˈkɑːs(ə)l  ˈkæs(ə)l
catalog ˈkætəlɒɡ  ˈkætəlɔːɡ
catastrophe kəˈtæstrəfi  kəˈtæstrəfi
category ˈkætəɡəri  ˈkætəɡɔːri
cater ˈkeɪtə(r)  ˈkeɪtər
Catholic ˈkæθlɪk  ˈkæθlɪk
cathedral kəˈθiːdrəl  kəˈθiːdrəl
cattle ˈkæt(ə)l  ˈkæt(ə)l
cave keɪv  keɪv
ceiling ˈsiːlɪŋ  ˈsiːlɪŋ
cell en  en
cellar ˈselə(r)  ˈselər
cent sent  sent
centigrade ˈtɪp ʌp  ˈtɪp ʌp
centimeter ˈsentɪmiːtə(r)  ˈsentɪmiːtər
central ˈsentrəl  ˈsentrəl
century ˈsentʃəri  ˈsentʃəri
ceremony ˈserəməni  ˈserəmoʊni
certain ˈsɜːt(ə)n  ˈsɜːrt(ə)n
certificate əʊ  oʊ
chalk tʃɔːk  tʃɔːk
champion ˈtʃæmpiən  ˈtʃæmpiən
changeable ˈtʃeɪndʒəb(ə)l  ˈtʃeɪndʒəb(ə)l
chant tʃɑːnt  tʃænt
chaos ˈkeɪɒs  ˈkeɪɑːs
chapter ˈtʃæptə(r)  ˈtʃæptər
cheek tʃiːk  tʃiːk
cheese tʃiːz  tʃiːz
chef ʃef  ʃef
chess tʃes  tʃes
chest tʃest  tʃest
chew tʃuː  tʃuː
chief tʃiːf  tʃiːf
childhood ˈtʃaɪldhʊd  ˈtʃaɪldhʊd
chimney ˈtʃɪmni  ˈtʃɪmni
choir ˈkwaɪə(r)  ˈkwaɪər
choke tʃəʊk  tʃoʊk
chorus ˈkɔːrəs  ˈkɔːrəs
Christian ˈkrɪstʃən  'krɪstʃən
church tʃɜːtʃ  tʃɜːrtʃ
cigar sɪˈɡɑː(r)  sɪˈɡɑːr
circuit An error occurred: 'ukphone'
circulate ˈsɜːkjəleɪt  ˈsɜːrkjəleɪt
circumstance ˈsɜːkəmstəns  ˈsɜːrkəmstæns
circus ˈsɜːkəs  ˈsɜːrkəs
civil ˈsɪv(ə)l  ˈsɪv(ə)l
civilian səˈvɪliən  səˈvɪliən
civilization ˌsɪvəlaɪˈzeɪʃn  ˌsɪvələˈzeɪʃn
claw ə; eɪ  ə; eɪ
clerk klɑːk  klɜːrk
clinic ˈklɪnɪk  ˈklɪnɪk
clumsy ˈklʌmzi  ˈklʌmzi
coal kəʊl  koʊl
cock ˈtæfi  ˈtæfi
coincidence kəʊˈɪnsɪdəns  koʊˈɪnsɪdəns
collar ˈkɒlə(r)  ˈkɑːlər
collision kəˈlɪʒ(ə)n  kəˈlɪʒ(ə)n
comb kəʊm  koʊm
