resultant           形 因而产生的 由于某事而发生或产生的 词根result
mock                动 嘲笑嘲弄 以轻蔑的方式嘲弄或嘲笑 引申到使显得可笑徒劳 使(某物)看起来可笑地不真实或不可能 或者戏谑地模仿 轻蔑地模仿(某人或某事) 形 仿制的假装的 不真实的，但没有欺骗的意图 人或物都可 引申到模拟的 (指考试、战斗等)为训练或练习而安排的 名 模拟考试 mock examinations 英式非正式说法
consequent          形 随之发生的作为结果的 following as a result or effect 意似attendant
embroidery          名 刺绣(艺术消遣娱乐) 刺绣布的艺术或消遣娱乐 引申到刺绣品(布) 用刺绣图案装饰的布 夸张之词 对事件的描述中的修饰或夸张
spice               名 香料(用作食物) 一种芳香的或辛辣的植物物质，用于给食物调味，如丁香、胡椒或孜然 引申到趣味 an element providing interest and excitement 动 用香料调味 flavour with spice 引申到给…增添趣味  make more interesting or exciting
interim             名 中间期期间 the intervening time 中期利润阶段性成果 an interim dividend, profit, etc.. 形 中间时期的临时暂时的 in or for the intervening period; provisional 其中的 与少于一整年的商业活动有关的
prune               名 干梅子李子 一种干燥保存的李子，外表呈黑色皱状 讨厌乏味的人 令人讨厌或不愉快的人 非正式说法 动 修剪 修剪(树木、灌木或灌木)，尤指为了促进生长而剪掉枯死的或生长过度的树枝或茎 引申到消减删减 减去多余或不需要的部分 名 prune的实例 意似trim
illicit             形 违法的社会不容许的不正当的 被法律、规则或习俗禁止的(法律或者道德违反) 音同elicit
hound               名 猎狗 一种用于狩猎的狗，尤指能凭气味追踪的狗 引申到急切寻求某物的人 动 纠缠烦扰 骚扰、迫害或无情地追求 意似persecute
colonel             名 上校 陆军和美国空军中的军官军衔，高于中校，低于准将或准将 中校是lieutenant colonel 形似colonial
volatile            形 易挥发的 (指物质)在常温下容易蒸发的 易变的反复无常的 易变迅速且不可预测的，尤指变坏的 引申到(人情绪)易变的反复无常的 (指人)容易表现出情绪的迅速变化 (计算机内存)易失的 (指计算机内存)只有在有电源供应的情况下才能保存数据 名 挥发物 volatile的物质
