lipstick            名 口红 用小棒子涂在嘴唇上的彩色化妆品
blank               形 空白的 (指表面或背景)没有装饰或其他特征的;空的朴素的 如墙屏幕 引申到指纸文档磁带空白 困惑的大脑空白的 表现出缺乏理解或反应的 完全的 完全的(强调用否定语气) 名 空白 困惑大脑空白
zoom                动 疾行 move or travel very quickly 引申到急剧上升 (of a figure or level) rise sharply 变焦 (指照相机或使用者)从长镜头到特写平滑地变化，反之亦然 引申到屏幕上的放大缩小 名 变焦摄影 变焦镜头
linen               名 亚麻布 cloth woven from flax 引申到亚麻制品家庭日用织品 由亚麻制成或最初由亚麻制成的物品，如床单或衣服:
tribune             名 (古罗马的)保民官 古罗马平民选出来保护他们利益的官员 也作tribune of the people 讲坛讲台 讲台，尤指教堂中的讲台
detection           名 发现察觉 识别被隐藏的事物的存在的动作或过程 引申到侦查 侦探在调查犯罪时所做的工作
unanimous           形 意见一致的 (of two or more people) fully in agreement 引申到全体同意的 (指意见、决定或投票)由所有相关的人持有或执行的
underlying          形 根本的潜在的 作为某事的原因或基础而重要的，但不一定是明显的或明显的 表面下的下层的 躺在或位于某物下面的 原型underlie 动 构成...基础 位于...之下
corporeal           形 肉体的物质的有形的 与人的身体有关的，尤指与精神相对的
lieutenant          名 代理(副职)官员 代表上级的代理人或替代者 引申到 英国陆军中尉 英美海军上尉 (美国消防警察)中尉
squad               名 小队 有一项特殊任务的一小群人 引申到(军事)班 为训练或被指派执行特殊任务而集合的一小部分士兵 或者运动队 从中选出一个队的一群体育运动员 或者警察小组 处理特定类型犯罪的警察部门 
decree              名 法令 具有法律效力的官方命令 引申到发出法令 the issuing of a decree 或者裁定 某些法院的判决或决定，尤指在婚姻案件中 动 颁布规定(法令)裁定判决 order (something) by decree
discrete            形 分离的不相关联的 individually separate and distinct 形似discreet
