considerate             形 考虑周到的体贴的 小心注意不要给他人带来不便或伤害
cork                    名 软木 一种从软木树皮外层获得的易浮力的浅棕色物质 软木塞 软木塞用软木或类似材料制成的瓶塞 引申到软木浮子 用作钓鱼线或渔网的浮子的一块软木 动 用软木塞塞住 用软木塞封(瓶) 形似pork
vow                     动 立誓 solemnly promise to do a specified thing 名 誓言诺言 a solemn promise 引申到(婚礼修道)誓言 一套庄严的承诺，使人对规定的角色、职业或行动路线作出承诺，尤指对婚姻或修道生涯作出承诺
shutter                 名 百叶窗 固定在窗户内外的一对铰链嵌板中的每一个，可出于安全、隐私或遮挡光线而关闭 快门 打开和关闭以曝光照相机中的胶片的装置 动 关上(窗户)的百叶窗 close the shutters of (a window or building) 引申到停业倒闭 close (a business) 美式说法
obstruct                动 阻挡阻塞 阻塞(开口、小路、道路等);妨碍 引申到阻挡阻塞 阻止或阻碍(运动中的某人或某物) 或者阻挠阻碍 deliberately make (something) difficult 或者妨碍警务人员 犯故意妨碍(警务人员)罪 或者犯规性阻挡 (在各种运动中)以构成犯规的方式阻碍(对方队员) 形似abstract
artillery               名 大炮火炮 在陆地战争中使用的大口径大炮 引申到炮兵部队 使用大口径火炮的军队支队或分支 形似articulate
taboo                   名 禁忌忌讳 禁止或限制某一特定行为或禁止与某一特定的人、地点或事物联系的社会或宗教习俗 形 禁忌忌讳的 被社会习俗禁止或限制的或者被指定为神圣的和被禁止的如墓地 动 禁止禁忌忌讳 place under a taboo
contingent              形 偶然的 subject to chance 依情况而定的 仅在(某些情况下)发生或存在的;依赖 用法contingent on/upon 名 一组 具有共同特征的一群人，构成一个更大群体的一部分 引申到分遣队 被派去加入更大部队的部队或警察
avenge                  动 报仇替...报仇 以牙还牙(对自己或他人造成的伤害或错误)或者为他人报仇 意似retaliate
terrain                 名 地带 一片土地，尤指(添加形容词形容)其物理特征
parasite                名 寄生生物寄生虫 生活在另一物种(宿主)体内或寄生于另一物种(宿主)上的有机体，并以牺牲另一物种的营养为代价而获益也可以指人
peg                     名 挂钩挂钉 一种短针或螺栓，通常一端变细，用于固定某物、挂东西或标记位置 界桩地标限度 尺度上的点或限度，尤指汇率 动 用钉(或桩)固定 限定固定 把(价格、利率或数量)固定在一个特定的水平上 形似beg
massacre                名 大屠杀 对许多人不分青红皂白的残酷屠杀 引申到惨败 运动队或选手的惨败 非正式说法 动 大屠杀 故意残忍地杀害(许多人) 引申到惨败彻底击败 或者搞砸笨拙地演奏 拙劣地表演(乐曲、戏剧等) 都是非正式说法
courtesy                名 礼貌 在对待他人的态度和行为上表现出礼貌 引申到礼貌举止 礼貌的话或体贴的行为 或者免费提供礼宾车 (尤指交通)免费提供给已经为另一项服务付费的人的
interrogate             动 审讯询问 密切地、咄咄逼人地或正式地问(某人)问题 质问批判的分析探索 批判性地检查、分析或探索(主题、概念等) 查询 从(计算机文件、数据库、存储设备或终端)获取数据
sergeant                名 中士 陆军或空军的士官军衔，高于下士，低于上士
pumpkin                 名 南瓜 一种大而圆的橙黄色水果，有厚厚的果皮，果肉可用来做甜的或咸味的菜肴 引申到小南瓜 非正式用语，尤指对孩子的亲切称呼 南瓜藤 产南瓜的植物
abreast                 副 并排 一排排下去并面向同一方向的 并列并排 与某物并列或平行 用法多是abreast of 引申到与…齐头并进跟上(最新进展) 紧跟最新的新闻、想法或信息
commemorate             动 纪念 回忆并尊重(某人或某事) 引申到作为对…的纪念 通过做某事或生产某物来纪念或庆祝(一个事件或一个人) 意似souvenir
multilateral            形 多边的多方的 由三方或多方，尤指不同国家的政府同意或参与的或者有来自几个团体，尤指几个不同国家的成员或贡献者的 意似bilateral
anonymous               形 匿名的名字不公开的 (指人)未指明姓名的;名字不详的 引申到无特色的普普通通的 没有突出的、独特的或不寻常的特征的;平凡的或非个人的
depreciate              动 贬值 在一段时间内价值减少 引申到折旧 在预定的期间内每年减少公司帐簿上(某项资产)的记录价值(折旧用于资产将一些比较大的、价值比较高的设备，不能一次性的把成本计算进去，资产在使用过程中其价值的逐渐减少) 如计算机将按每年50%的比率折旧 如 贬低轻视 disparage or belittle (something) 形似appreciate
vogue                   名 时尚流行 某一特定时期流行的时尚或风格或者普遍接受或偏爱;受欢迎 形 时髦的流行的 popular;fashionable 意似cult hip
